SynsetID|Definition|English|Spanish|French|Italian|Portuguese|Romanian|German
choice.n.02|the act of choosing or selecting|choice|elección|choix|adozione|escolha|alegere|e_drejtë_zgjedhjeje
decision.n.01|the act of making up your mind about something|decision|decisión|conclusion|decisione|decisão|concluzie|konkluzion
appointment.n.01|the act of putting a person into a non-elective position|appointment|designación|désignation|assegnazione|designação|desemnare|caktim
move.n.01|the act of deciding to do something|move|paso|coup|mossa|movimento|gest|lëvizje
maneuver.n.04|a move made to gain a tactical end|maneuver|maniobra|manuvre|manovra|manobra|manevră|manovrim
move.n.02|the act of changing your residence or place of business|move|mudanza|délocalisation|sgomberatura|mudança|muta|shpërngulje
means.n.01|how a result is obtained or an end is achieved|means|camino|façon|maniera|caminho|cale|mjet
election.n.02|the act of selecting someone or something; the exercise of deliberate choice|election|elección|élection|elezione|eleição|alegere|zgjedhje
vote.n.01|a choice that is made by counting the number of people in favor of each alternative|vote|boleta_electoral|scrutin|votazione|eleição|vot|hedhje_shorti
change.n.03|the action of changing something|change|cambio|changement|cambiamento|mudança|modificare|ndryshim
economy.n.04|an act of economizing; reduction in cost|economy|ahorro|économie|economia|economia|economisire|ekonomizim
promotion.n.02|act of raising in rank or position|promotion|promoción|promotion|promozione|ascenção|avansare|ngritje_në_pozitë
alteration.n.02|the act of making something different (as e.g. the size of a garment)|alteration|alteración|adaptation|alterazione|ajuste|ajustare|modifikim
passage.n.01|the act of passing from one state or place to the next|passage|pasaje|passage|passaggio|passagem|tranziție|kalim
resistance.n.01|the action of opposing something that you disapprove or disagree with|resistance|oposición|opposition|resistenza|oposição|opoziție|oponencë
rejection.n.01|the act of rejecting something|rejection|rechazo|refus|rigetto|rejeição|refuzare|hedhje_poshtë
termination.n.05|the act of ending something|termination|conclusión|conclusion|fine|conclusão|finalizare|fund
dismissal.n.04|the termination of someone's employment (leaving them free to depart)|dismissal|despedida|congé|congedo|demissão|concediere|heje
destruction.n.01|the termination of something by causing so much damage to it that it cannot be repaired or no longer exists|destruction|destrucción|destruction|annientamento|destruição|devastare|gërmadhë
killing.n.02|the act of terminating a life|killing|matanza|tuer|ammazzamento|assassinato|moarte|e_bën_për_vdekje
murder.n.01|unlawful premeditated killing of a human being by a human being|murder|asesinato|assassinat|assassinio|assassinato|asasinat|ekzekutim
reversal.n.01|a change from one state to the opposite state|reversal|inversión|retournement|capovolgimento|inversão|trecere|ndryshim
beginning.n.05|the act of starting something|beginning|apertura|début|apertura|começo|începere|filloj
constitution.n.02|the act of forming or establishing something|constitution|constitución|constitution|costituzione|constituição|constituire|formim
improvement.n.02|the act of improving something|improvement|mejora|amélioration|abbonimento|melhoramento|îmbunătățire|vlerësim
development.n.01|act of improving by expanding or enlarging or refining|development|desarrollo|développement|sviluppo|desenvolvimento|dezvoltare|evolucion
cleaning.n.01|the act of making something clean|cleaning|limpieza|lavage|pulitura|limpeza|curățare|larje
correction.n.01|the act of offering an improvement to replace a mistake; setting right|correction|corrección|correction|correzione|correção|corectare|korrektim
decoration.n.03|the act of decorating something (in the hope of making it more attractive)|decoration|decoración|décoration|addobbo|decoração|decorare|zbukurim
repair.n.01|the act of putting something in working order again|repair|arreglo|réparation|aggiustamento|conserto|reparare|instalim
degradation.n.01|changing to a lower state (a less respected state)|degradation|degradación|dégradation|abbrutimento|degradação|degradare|degjenerim
motion.n.06|the act of changing location from one place to another|motion|desplazamiento|déplacement|movimento|deslocamento|deplasare|ecje
progress.n.02|the act of moving forward (as toward a goal)|progress|avance|progression|andamento|avanço|avansare|avancim
walk.n.01|the act of traveling by foot|walk|andadura|marche|caminata|caminhada|mers|eci
step.n.03|the act of changing location by raising the foot and setting it down|step|paso|pas|passo|passo|pas|hap
jump.n.05|descent with a parachute|jump|paracaidismo|parachutage|discesa|paraquedismo|salt|hidhem
transportation.n.02|the act of moving something from one location to another|transportation|transferencia|transport|trasporto|transferência|transport|lëvizje
delivery.n.01|the act of delivering or distributing something (as goods or mail)|delivery|distribución|importation|consegna|entrega|furnizare|dërgesë
pursuit.n.01|the act of pursuing in an effort to overtake or capture|pursuit|caza|poursuite|caccia|caçada|căutare|kërkim
insertion.n.02|the act of putting one thing into another|insertion|introducción|introduction|inserimento|inserção|băgare|futje_në_përdorim
climb.n.03|the act of climbing something|climb|subida|gravir|arrampicata|escalada|aburcare|kacavirrem
descent.n.03|the act of changing your location in a downward direction|descent|descenso|descente|discesa|descensão|coborâre|zbritje
motion.n.03|a change of position that does not entail a change of location|motion|movimiento|mouvement|mossa|mudança|mișcare|gjest
gesture.n.01|motion of hands or body to emphasize or help to express a thought or feeling|gesture|ademán|geste|atto|gesto|gest|gjest
rotation.n.01|the act of rotating as if on an axis|rotation|rotación|rotation|rotazione|rotação|rotație|lëvizje_rrotulluese
wind.n.08|the act of winding or twisting|wind|vuelta|vent|avvolgimento|torção|întoarcere|mbështjell
decrease.n.04|the act of decreasing or reducing something|decrease|disminución|abaissement|abbassamento|diminuição|descreștere|pakësim
grind.n.04|the act of grinding to a powder or dust|grind|molienda|moulin|macinatura|pulverização|măcinare|bluaj
advance.n.06|increase in price or value|advance|alza|grandir|aumento|aumento|scumpire|ngritje
accumulation.n.03|the act of accumulating|accumulation|acumulación|accumulation|accumulazione|acumulação|acumulare|akumulim
deposit.n.09|the act of putting something somewhere|deposit|depósito|dépôt|deposito|colocação|depozita|depozitoj
repositing.n.01|depositing in a warehouse|repositing|almacenaje|entreposage|immagazzinaggio|armazenamento|depozitare|grumbulloj
breakage.n.03|the act of breaking something|breakage|ruptura|cassure|frantumazione|rompimento|ruptură|thyej
explosion.n.02|the act of exploding or bursting|explosion|explosión|explosion|esplosione|estouro|explozie|shpërthej
combination.n.07|the act of combining things to form a new whole|combination|combinación|combinaison|abbinamento|combinação|combinare|formoj
union.n.11|the act of making or becoming a single unit|union|unificación|unification|unificazione|junção|unificare|bashkim
opening.n.03|becoming open or being made open|opening|apertura|ouverture|apertura|abertura|deschidere|hapje
division.n.03|the act or process of dividing|division|división|division|compartitura|divisão|divizare|pjesëtim
cut.n.16|the act of penetrating or opening open with a sharp edge|cut|corte|coupe|taglio|cortamento|tăietură|çaj
division.n.12|the act of dividing or partitioning; separation by the creation of a boundary that divides or keeps apart|division|división|division|divisione|divisão|divizare|copëzim
damage.n.03|the act of damaging something or someone|damage|daño|dommage|detrimento|danificação|rănire|asgjesoj
wound.n.04|the act of inflicting a wound|wound|herida|blessure|ferimento|ferimento|lezare|lëndim
activity.n.01|any specific behavior|activity|actividad|activité|attività|atividade|activitate|aktivitet
practice.n.01|a customary way of operation or behavior|practice|costumbre|pratique|abitudine|costume|tipar|stil
custom.n.01|accepted or habitual practice|custom|costumbre|coutume|abitudine|costume|deprindere|adet
habit.n.02|(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition|habit|costumbre|appel|abitudine|costume|deprindere|ves
way.n.05|a course of conduct|way|camino|chemin|strada|caminho|cale|drejtim
maltreatment.n.01|cruel or inhumane treatment|maltreatment|abuso|abus|maltrattamento|abuso|chinuire|abuzim
persecution.n.01|the act of persecuting (especially on the basis of race or religion)|persecution|persecución|persécution|persecuzione|perseguição|persecutare|bezdisje
diversion.n.01|an activity that diverts or amuses or stimulates|diversion|diversión|amusement|diporto|diversão|amuzament|argëtim
antic.n.01|a ludicrous or grotesque act done for fun and amusement|antic|broma|badinage|baia|gozação|bufonerie|qëndrim_grotesk
celebration.n.02|any joyous diversion|celebration|celebración|célébration|festività|celebração|amuzament|festim
dancing.n.01|taking a series of rhythmical steps (and movements) in time to music|dancing|baile|danse|ballo|baile|dans|kërcej
gambling.n.01|the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)|gambling|juego|jeu|gioco|aposta|jocdecărți|kumar
game.n.03|an amusement or pastime|game|juego|jeu|balocco|hobby|joc|lojë
jest.n.02|activity characterized by good humor|jest|broma|badinage|baia|brincadeira|glumă|bëj_shaka
pastime.n.01|a diversion that occupies one's time and thoughts (usually pleasantly)|pastime|afición|amusement|diporto|entreterimento|ocupațiedetimpliber|aktivitet
rowing.n.01|the act of rowing as a sport|rowing|remar|aviron|canottaggio|remo|vâslire|kanotazh
boxing.n.01|fighting with the fists|boxing|boxeo|boxe|boxe|boxe|box|boks
game.n.01|a contest with rules to determine a winner|game|juego|catch|gioco|jogo|joc|lojë
football.n.01|any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal|football|fútbol|ballon|football|futebol|fotbalamerican|futboll
poker.n.02|any of various card games in which players bet that they hold the highest-ranking hand|poker|póquer|poker|poker|póquer|pocher|lojë_pokeri
checkers.n.01|a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces|checkers|damas|Dames|dama|damas|jocdedame|damë
beguilement.n.02|an entertainment that provokes pleased interest and distracts you from worries and vexations|beguilement|distracción|divertissement|distrazione|distracção|distracție|gënjim
celebration.n.03|the public performance of a sacrament or solemn ceremony with all appropriate ritual|celebration|celebración|célébration|celebrazione|solenidade|celebrare|betim
sport.n.01|an active diversion requiring physical exertion and competition|sport|deporte|sport|sport|esporte|atletism|atletikë
music.n.03|musical activity (singing or whistling etc.)|music|música|musique|musica|música|muzică|muzikë
acting.n.01|the performance of a part or role in a drama|acting|actuación|intérimaire|recitazione|atuação|interpretare|aktrim
haste.n.02|the act of moving hurriedly and in a careless manner|haste|precipitación|hâte|fretta|precipitação|grabă|ngut
play.n.03|a preset plan of action in team sports|play|jugada|jeu|azione|tática|tactică|ndeshje
work.n.01|activity directed toward making or doing something|work|trabajo|travail|lavoro|tarefa|lucru|punë
operation.n.07|a process or series of acts especially of a practical or mechanical nature involved in a particular form of work|operation|operación|opération|attività|operação|operație|operacion
position.n.06|a job in an organization|position|cargo|emploi|carica|cargo|loc|detyrë
trade.n.02|the skilled practice of a practical occupation|trade|oficio|commerce|arte|arte|meserie|profesion
profession.n.02|an occupation requiring special education (especially in the liberal arts or sciences)|profession|profesión|métier|professione|profissão|profesiune|profesion
education.n.04|the profession of teaching (especially at a school or college or university)|education|educación|enseignement|insegnamento|pedagogia|educare|edukim
labor.n.02|productive work (especially physical work done for wages)|labor|faena|labeur|fatica|mão-de-obra|lucru|fuqi_punëtore
effort.n.02|use of physical or mental energy; hard work|effort|afán|effort|fatica|empenho|efort|mundim
exercise.n.01|the activity of exerting your muscles in various ways to keep fit|exercise|ejercicio|exercice|esercizio|exercício_fisico|exercițiufizic|stërvitem
investigation.n.02|the work of inquiring into something thoroughly and systematically|investigation|investigación|enquête|indagazione|investigação|investigare|hetim
examination.n.01|the act of examining something closely (as for mistakes)|examination|análisis|contrôle|controllo|examinar|cercetare|ekzaminim
experiment.n.01|the act of conducting a controlled test or investigation|experiment|experimentación|expérience|esperimento|experimento|experiment|eksperiment
care.n.01|the work of providing treatment for or attending to someone or something|care|atención|aide|assistenza|assintência|asistență|kujdesem
treatment.n.01|care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)|treatment|tratamiento|traitement|cura|tratamento|tratament|mjekim
duty.n.02|work that you are obliged to perform for moral or legal reasons|duty|deber|devoir|dovere|dever|datorie|detyrë
function.n.03|the actions and activities assigned to or required or expected of a person or group|function|función|fonction|carica|função|funcție|funksioni
stead.n.01|the post or function properly or customarily occupied or served by another|stead|lugar|place|carica|posição|loc|karrige
mission.n.03|a special assignment that is given to a person or group|mission|encargo|commission|incarico|missão|misiune|mision
misbehavior.n.01|improper or wicked or immoral behavior|misbehavior|delito|méfait|GAP!|mau_comportamento|necuviință|keqbërje
negligence.n.01|failure to act with the prudence that a reasonable person would exercise under the same circumstances|negligence|descuido|incurie|negligenza|negligência|neatenție|mospërfillje
vice.n.02|a specific form of evildoing|vice|vicio|vice|cancrena|imoralidade|patimă|prostitucion
treachery.n.02|an act of deliberate betrayal|treachery|traición|perfidie|tradimento|traição|trădare|pabesi
falsification.n.02|a willful perversion of facts|falsification|desfiguración|falsification|alterazione|adulteração|falsificare|falsifikim
deception.n.02|the act of deceiving|deception|disimulación|escroquerie|accalappiamento|dissimulação|înșelăciune|fsheharak
fall.n.05|a lapse into sin; a loss of innocence or of chastity|fall|caída|chute|caduta|caimento|alunecareînpăcat|prishje
sin.n.02|an act that is regarded by theologians as a transgression of God's will|sin|pecado|pécher|colpa|pecado|păcat|gjynah
mortal_sin.n.01|an unpardonable sin entailing a total loss of grace|mortal_sin|pecado_capital|péché_capital|peccato_capitale|pecado_capital|păcatcapital|mëkat_i_vdekshëm
envy.n.02|spite and resentment at seeing the success of another (personified as one of the deadly sins)|envy|envidia|envie|invidia|inveja|invidie|lakmi
crime.n.01|(criminal law) an act punishable by law; usually considered an evil act|crime|crimen|crime|crimine|crime|delict|krim
assault.n.02|a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped|assault|asalto|agression|aggressione|assalto|actdeviolență|mësymje
felony.n.01|a serious crime (such as murder or arson)|felony|crimen|félonie|crimine|crime|crimă|krim
misdemeanor.n.01|a crime less serious than a felony|misdemeanor|contravención|Infraction|infrazione|infracção|delict|dhunim
larceny.n.01|the act of taking something from someone unlawfully|larceny|desvalijamiento|vol|furto|furto|furt|hajdutllëk
attempt.n.01|earnest and conscientious activity intended to do or accomplish something|attempt|intento|essai|fatica|esforço|efort|mundohem
struggle.n.01|an energetic attempt to achieve something|struggle|batalla|bataille|lotta|batalha|bătălie|betejë
test.n.05|the act of testing something|test|ensayo|essai|cimento|teste|examen|provë
undertaking.n.01|any piece of work that is undertaken or attempted|undertaking|proyecto|entreprise|compito|projeto|obligație|marr_përsipër
adventure.n.01|a wild and exciting undertaking (not necessarily lawful)|adventure|aventura|aventure|avventura|aventura|aventură|arrati
campaign.n.02|a series of actions advancing a principle or tending toward a particular end|campaign|campaña|campagne|campagna|campanha|campanie|fushatë
risk.n.02|a venture undertaken without regard to possible loss or injury|risk|amanaza|danger|alea|perigo|pericol|rrezik
control.n.05|the activity of managing or exerting control over something|control|control|contrôle|controllo|controle|control|kontrolloj
limitation.n.05|an act of limiting or restricting (as by regulation)|limitation|limitación|restriction|contenimento|limitação|limitare|frenim
possession.n.01|the act of having and controlling property|possession|posesión|possession|possesso|possessão|posesie|posedoj
protection.n.01|the activity of protecting someone or something|protection|guardia|protection|protezione|protecção|apărare|mbrojtje
care.n.05|attention and management implying responsibility for safety|care|cuidado|tutelle|cura|cuidado|tratament|mbikqyrje
wear.n.03|the act of having on your person as a covering or adornment|wear|uso|port|uso|uso|purtare|vesh
breathing.n.01|the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation|breathing|respiración|respiration|respirazione|respiração|respirație|frymëmarrje
consumption.n.01|the process of taking food into the body through the mouth (as by eating)|consumption|consumo|consommation|assunzione|ingestão|alimentare|gëlltitje
sexual_activity.n.01|activities associated with sexual intercourse|sexual_activity|sexo|sexe|sesso|sexo|dragoste|aktivitet_seksual
reaction.n.03|a bodily process occurring due to the effect of some antecedent stimulus or agent|reaction|reacción|réaction|reazione|reação|reacție|reagim
calculation.n.01|the procedure of calculating; determining something by mathematical or logical methods|calculation|cálculo|calcul|calcolo|cálculo|calculare|llogaris
mathematical_process.n.01|(mathematics) calculation by mathematical methods|mathematical_process|operación|opération|operazione|cáculo|operație|proçes_matematikor
judgment.n.02|the act of judging or assessing a person or situation or event|judgment|juicio|appréciation|giudizio|critica|evaluare|gjykim
estimate.n.02|a judgment of the qualities of something or somebody|estimate|estimación|estimation|stima|avaliação|apreciere|gjykim
sensing.n.02|becoming aware of something via the senses|sensing|percepción|perception|percezione|percepção|percepție|ndjeshmëri
look.n.02|the act of directing the eyes toward something and perceiving it visually|look|mirada|regard|occhiata|olhada|privire|pamje
smell.n.05|the act of perceiving the odor of something|smell|olor|flairer|fiuto|exalarcheiro|miros|nuhas
course.n.01|education imparted in a series of lessons or meetings|course|asignatura|classe|corso|aula|curs|kurs
training.n.01|activity leading to skilled behavior|training|formación|entraînement|addestramento|preparação|exersare|formim
exercise.n.03|systematic training by multiple repetitions|exercise|ejercicio|activité|addestramento|exercício|exercițiu|seancë_praktike
creation.n.01|the human act of creating|creation|creación|création|creazione|criação|creare|krijim
construction.n.01|the act of constructing something|construction|construcción|bâtiment|costruzione|construção|construcție|konstruksion
fabrication.n.04|the act of constructing something (as a piece of machinery)|fabrication|construcción|fabrication|assemblaggio|construção|fabricare|fabrikim
production.n.07|(economics) manufacturing or mining or growing something (usually in large quantities) for sale|production|producción|production|prod.|produção|producere|prodhim
output.n.02|production of a certain amount|output|rendimiento|production|gettito|rendimento|producție|prodhim
breeding.n.04|the production of animals or plants by inbreeding or hybridization|breeding|cría|élevage|breeding|criação|creștere|rrit
cultivation.n.02|(agriculture) production of food by preparing the land to grow crops (especially on a large scale)|cultivation|cultivo|culture|coltivazione|cultivo|cultivare|kultivim
farming.n.01|the practice of cultivating the land or raising stock|farming|agricultura|agriculture|agraria|agricultura|agricultură|agrikulrurë
flower_gardening.n.01|the cultivation of flowering plants|flower_gardening|floricultura|floriculture|floricoltura|floricultura|floricultură|kopsht_me_lule
industry.n.02|the organized action of making of goods and services for sale|industry|industria|fabrication|industria|indústria|industrie|fabrikim
art.n.02|the creation of beautiful or significant things|art|arte|art|arte|arte|artă|art
invention.n.03|the act of inventing|invention|invención|invention|creazione|invenção|inventare|shpikje
search.n.01|the activity of looking thoroughly in order to find something or someone|search|busca|chasse|caccia|buscar|căutare|gjuaj
use.n.01|the act of using|use|empleo|coutume|impiego|uso|folosire|përdor
play.n.06|utilization or exercise|play|obra|jeu|ginnastica|jogar|folosire|luaj
exploitation.n.01|the act of making some area of land or water more profitable or productive or useful|exploitation|explotación|exploitation|sfruttamento|desenvolvimento|exploatare|përdorim
application.n.01|the act of bringing something to bear; using it for a particular purpose|application|aplicación|application|applicazione|aplicação|aplicare|aplikim
battle.n.01|a hostile meeting of opposing military forces in the course of a war|battle|acción|bataille|battaglia|batalha|bătaie|betejë
defense.n.01|(military) military action or resources protecting a country against potential enemies|defense|defensa|défense|difesa|defesa|apărare|masa_mbrojtëse
operation.n.05|activity by a military or naval force (as a maneuver or campaign)|operation|maniobra|opération|operazione|manobra|operație|operacion
conflict.n.01|an open clash between two opposing groups (or individuals); --Thomas Paine|conflict|batalla|bagarre|battaglia|conflito|conflict|betejë
brush.n.06|a minor short-term fight|brush|encuentro|accrochage|avvisaglia|conflito|harță|konflikt
maneuver.n.01|a military training exercise|maneuver|maniobra|manuvre|evoluzione|manobra|manevră|manovrim
rebellion.n.02|organized opposition to authority; a conflict in which one faction tries to wrest control from another|rebellion|revuelta|insurrection|fronda|insurreição|rebeliune|kryengritje
violence.n.01|an act of aggression (as one against a person who resists)|violence|fuerza|force|forza|força|forță|dhunë
campaign.n.03|several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)|campaign|campaña|campagne|campagna|campanha|campanie|ekspeditë_ushtarake
attack.n.01|(military) an offensive against an enemy (using weapons)|attack|asalto|assaut|assalto|ataque|atac|dyndje
war.n.01|the waging of armed conflict against an enemy|war|guerra|guerre|guerra|guerra|conflict|betejë
bombing.n.01|an attack by dropping bombs|bombing|bombardeo_aéreo|bombardement|bombardamento|bombardeio|bombardament|bombardim
offense.n.05|the action of attacking an enemy|offense|ataque|attaque|offensiva|ofensa|atac|sulmim
fire.n.02|the act of firing weapons or artillery at an enemy|fire|fuego|tir|fuoco|tiro|tragere|hap_zjarr
measurement.n.01|the act or process of assigning numbers to phenomena according to a rule|measurement|medición|mesure|misuratura|medida|măsurare|mas
organization.n.06|the activity or result of distributing or disposing persons or things properly or methodically|organization|organización|organisation|inquadramento|organização|organizare|organizim
order.n.15|the act of putting things in a sequential arrangement|order|ordenación|classement|ordinamento|ordenação|ordonare|rendis
succession.n.03|the action of following in order|succession|secuencia|succession|sequenza|sequência|consecutivitate|seri
collection.n.04|the act of gathering something together|collection|acumulación|agrégation|collezionismo|agregaçao|adunare|grumbullim
procedure.n.04|a mode of conducting legal and parliamentary proceedings|procedure|procedimiento|procédure|modalità|procedimento|procedură|proçedim
procedure.n.01|a particular course of action intended to achieve a result|procedure|procedimiento|processus|iter|processo|procedură|proçedurë
ritual.n.01|any customary observance or practice|ritual|rito|rite|cerimoniale|rito|rit|rit
rite.n.01|an established ceremony prescribed by a religion|rite|rito|rite|rito|liturgia|ceremonialreligios|rit
ritual.n.02|the prescribed procedure for conducting religious ceremonies|ritual|ritual|rituel|rituale|ritual|ritual|ritual
